"id","nome","curso","periodo","nota_p1","nota_p2","frequencia","horas_estudo","modalidade","cidade","status"
282,"Caio Oliveira","Fisioterapia",4,4.6,6.6,92,4,"Online","Anapolis","Ativo"
283,"Vitor Ramos","Fisioterapia",5,8.9,5.3,82,5,"Presencial","Goiania","Ativo"
284,"Sandra Cardoso","Enfermagem",4,7.4,8.8,78,6,"Hibrido","Aparecida de Goiania","Concluinte"
285,"Fernanda Carvalho","Enfermagem",9,6.1,6.9,60,6,"Presencial","Goiania","Ativo"
286,"Eduarda Silva","ADS",6,5.4,4.5,67,10,"Presencial","Anapolis","Trancado"
287,"Natalia Fernandes","Medicina",8,8.9,5.7,95,7,"Presencial","Anapolis","Ativo"
288,"Julio Oliveira","Enfermagem",5,7.2,7.1,87,4,"Presencial","Goiania","Ativo"
289,"Ricardo Gomes","Fisioterapia",2,7.6,7.3,79,4,"Presencial","Goiania","Ativo"
290,"Marcelo Barbosa","Medicina",6,7.7,10,96,6,"Presencial","Anapolis","Ativo"
291,"Olivia Lopes","Medicina",7,7.4,7.6,64,1,"Hibrido","Anapolis","Trancado"
292,"Julia Farias","Enfermagem",3,6.5,7.3,86,3,"Online","Aparecida de Goiania","Ativo"
293,"Eduarda Almeida","ADS",8,6.1,4.6,93,8,"Online","Brasilia","Trancado"
294,"Ricardo Fernandes","Enfermagem",6,7.4,6.3,87,2,"Presencial","Brasilia","Ativo"
295,"Renato Pinto","Fisioterapia",5,5.7,5.3,56,6,"Presencial","Anapolis","Cancelado"
296,"Fabio Farias","Enfermagem",8,6.2,5.9,68,8,"Hibrido","Brasilia","Ativo"
297,"Vanessa Reis","Fisioterapia",10,3.9,4.8,74,5,"Presencial","Anapolis","Cancelado"
298,"Lucas Araujo","Fisioterapia",6,6.1,8.8,68,1,"Presencial","Goiania","Transferido"
299,"Paula Alves","Medicina",9,8,8,92,1,"Hibrido","Anapolis","Ativo"
300,"Livia Souza","Medicina",4,8.5,7.2,86,10,"Hibrido","Anapolis","Trancado"
301,"Sandra Moreira","Medicina",9,7.4,8,70,8,"Hibrido","Anapolis","Ativo"
302,"Elena Lima","Enfermagem",3,6.7,8.3,82,6,"Presencial","Rio Verde","Transferido"
303,"Otavio Ribeiro","Enfermagem",2,10,7.6,78,3,"Online","Anapolis","Ativo"
304,"Otavio Castro","Fisioterapia",1,5.5,7.9,79,2,"Presencial","Goiania","Ativo"
305,"Julia Ribeiro","ADS",8,5,6.8,91,5,"Online","Goiania","Ativo"
306,"Rafael Lopes","Medicina",1,4.7,8.1,72,2,"Presencial","Goiania","Ativo"
307,"Gustavo Cunha","Medicina",2,5.3,3.1,86,4,"Presencial","Aparecida de Goiania","Ativo"
308,"Camila Rodrigues","Enfermagem",4,8.2,3.5,86,1,"Presencial","Brasilia","Jubilado"
309,"Lucas Ramos","ADS",10,4.5,9.3,79,10,"Presencial","Anapolis","Ativo"
310,"Sandra Carvalho","Medicina",3,9.4,7.7,88,3,"Hibrido","Brasilia","Ativo"
311,"Karina Cardoso","ADS",7,4.3,3.6,74,6,"Presencial","Goiania","Ativo"
312,"Ana Moura","Enfermagem",6,10,3.4,83,5,"Hibrido","Anapolis","Ativo"
313,"Fabio Araujo","ADS",4,7.8,7.4,80,3,"Presencial","Brasilia","Concluinte"
314,"Isabela Araujo","Fisioterapia",10,6.5,7.9,79,6,"Presencial","Brasilia","Ativo"
315,"Ana Andrade","Enfermagem",10,6,5.2,66,6,"Presencial","Anapolis","Jubilado"
316,"Xavier Oliveira","Medicina",6,9.6,7.8,98,4,"Online","Aparecida de Goiania","Ativo"
317,"Patricia Lopes","Enfermagem",2,7.5,6.8,42,10,"Presencial","Brasilia","Ativo"
318,"Wagner Alves","Enfermagem",6,7.8,7.6,100,5,"Presencial","Anapolis","Transferido"
319,"Ingrid Silva","Fisioterapia",2,8.4,7.7,77,6,"Online","Rio Verde","Afastado"
320,"Patricia Carvalho","Medicina",6,7.8,8.1,90,8,"Hibrido","Anapolis","Formado"
321,"Joao Oliveira","ADS",4,10,10,90,1,"Online","Rio Verde","Ativo"
322,"Ingrid Rocha","Fisioterapia",5,6.8,7.2,89,1,"Hibrido","Goiania",""
323,"Daniel Vieira","Enfermagem",1,6,7.7,76,11,"Presencial","Brasilia","Ativo"
324,"Hugo Vieira","Medicina",2,5.4,8.7,87,6,"Hibrido","Anapolis","Ativo"
325,"Otavio Tavares","ADS",9,6.6,6.5,80,5,"Presencial","Aparecida de Goiania","Ativo"
326,"Paula Oliveira","ADS",9,4.4,7.1,100,10,"Hibrido","Aparecida de Goiania","Transferido"
327,"Camila Fernandes","ADS",2,8.3,7.1,87,4,"Presencial","Goiania","Ativo"
328,"Denise Ramos","Enfermagem",4,5.8,6.1,65,4,"Presencial","Anapolis","Formado"
329,"Marina Mendes","Fisioterapia",1,5.8,7.2,76,4,"Hibrido","Anapolis","Ativo"
330,"Sofia Nunes","Medicina",5,8.5,9.1,92,3,"Online","Anapolis","Trancado"
331,"Igor Barbosa","Enfermagem",6,6.9,4.3,80,4,"Presencial","Brasilia","Trancado"
332,"Wagner Castro","ADS",8,6.4,5.9,90,4,"Online","Rio Verde","Ativo"
333,"Xavier Martins","Enfermagem",10,7.6,5.5,79,4,"Hibrido","Goiania","Ativo"
334,"Wagner Lima","ADS",7,6.8,9.9,93,11,"Hibrido","Anapolis","Ativo"
335,"Tiago Moura","Medicina",5,8.1,6.2,73,12,"Presencial","Rio Verde","Ativo"
336,"Nicolas Melo","Medicina",4,4.9,3.4,79,3,"Presencial","Anapolis","Cancelado"
337,"Xavier Araujo","Fisioterapia",3,8.7,5.1,83,6,"Presencial","Goiania","Concluinte"
338,"Vitor Cunha","ADS",6,9.4,5.9,71,2,"Online","Aparecida de Goiania","Ativo"
339,"Isabela Pereira","Medicina",5,2.5,7.1,100,14,"Hibrido","Aparecida de Goiania","Transferido"
340,"Patricia Reis","Medicina",8,9,7.3,70,6,"Presencial","Goiania","Ativo"
341,"Hugo Antunes","Medicina",7,8.2,5.7,74,3,"Online","Goiania","Formado"
342,"Marcelo Reis","ADS",10,7.1,4.6,85,7,"Online","Rio Verde","Formado"
343,"Breno Teixeira","Fisioterapia",7,7.8,7.1,69,2,"Presencial","Goiania","Ativo"
344,"Nicolas Reis","ADS",5,5,3.8,80,1,"Presencial","Anapolis","Concluinte"
345,"Natalia Fernandes","Enfermagem",2,6,5.2,82,5,"Hibrido","Goiania","Ativo"
346,"Sandra Silva","ADS",7,6.2,7.4,64,6,"Presencial","Goiania","Ativo"
347,"Ricardo Ferreira","Enfermagem",1,6.6,8.6,99,8,"Online","Anapolis","Ativo"
348,"Xavier Nascimento","Enfermagem",6,10,7.1,79,1,"Online","Goiania","Concluinte"
349,"Daniel Santos","Fisioterapia",7,9.3,7,79,11,"Hibrido","Anapolis","Ativo"
350,"Camila Souza","Enfermagem",8,6.9,7.9,69,3,"Hibrido","Anapolis","Ativo"
351,"Elena Rocha","Fisioterapia",10,6.7,7.4,102,4,"Hibrido","Anapolis","Ativo"
352,"Julia Fernandes","Medicina",6,8.9,6.6,91,2,"Presencial","Rio Verde","Transferido"
353,"Igor Melo","Enfermagem",7,10,3.7,52,3,"Online","Brasilia","Ativo"
354,"Xavier Reis","Medicina",9,5.2,8.3,74,5,"Presencial","Brasilia","Ativo"
355,"Isabela Carvalho","ADS",10,6.9,7.6,73,9,"Presencial","Aparecida de Goiania","Ativo"
356,"Yasmin Batista","ADS",2,10,3.9,92,9,"Hibrido","Anapolis","Ativo"
357,"Henrique Moura","Fisioterapia",1,5.4,6.1,70,1,"Online","Anapolis","Cancelado"
358,"Eduarda Moura","Enfermagem",2,10,7.1,63,5,"Hibrido","Brasilia","Trancado"
359,"Renato Ramos","Fisioterapia",6,9.4,8.6,78,3,"Online","Brasilia","Ativo"
360,"Eduarda Reis","ADS",7,7.4,6.2,66,5,"Online","Anapolis","Ativo"
361,"Olivia Andrade","ADS",1,5.9,6.9,100,7,"Presencial","Brasilia","Ativo"
362,"Bruno Melo","Enfermagem",2,5.2,9.7,81,9,"Hibrido","Goiania","Ativo"
363,"Eduardo Castro","Fisioterapia",10,7,8.8,86,8,"Presencial","Brasilia","Ativo"
364,"Gustavo Rodrigues","Medicina",2,7.9,5.9,100,5,"Online","Goiania","Concluinte"
365,"Hugo Ribeiro","Fisioterapia",2,7.9,6.4,67,7,"Presencial","Brasilia","Formado"
366,"Denise Reis","Fisioterapia",1,5.9,7.5,100,6,"Presencial","Anapolis","Transferido"
367,"Ursula Nunes","Enfermagem",5,7.5,6.4,90,1,"Online","Rio Verde","Ativo"
368,"Sandra Almeida","Fisioterapia",5,4.9,4.4,92,5,"Online","Goiania","Trancado"
369,"Ingrid Dias","Medicina",2,7.8,6.1,39,3,"Online","Goiania","Ativo"
370,"Ricardo Farias","Medicina",6,7.6,8.1,76,5,"Online","Goiania","Ativo"
371,"Nadia Vieira","Medicina",7,7.3,7.3,69,1,"Hibrido","Aparecida de Goiania","Jubilado"
372,"Joao Rodrigues","Medicina",1,6.2,5.5,100,3,"Presencial","Anapolis","Ativo"
373,"Caio Moreira","ADS",3,4,7,80,6,"Presencial","Anapolis","Ativo"
374,"Hugo Cardoso","Enfermagem",8,6.7,4.6,78,9,"Hibrido","Anapolis","Ativo"
375,"Ursula Monteiro","Medicina",7,6.8,8.4,84,4,"Presencial","Goiania","Cancelado"
376,"Lucas Melo","Medicina",7,5.6,6.3,66,6,"Online","Anapolis","Ativo"
377,"Patricia Ramos","Medicina",2,6.6,8.9,93,4,"Presencial","Goiania","Ativo"
378,"Vanessa Rocha","Fisioterapia",3,8,5.3,89,7,"Hibrido","Anapolis","Ativo"
379,"Julia Silva","Medicina",5,9.2,8,81,9,"Online","Goiania","Ativo"
380,"Joao Oliveira","Enfermagem",1,7.1,4.3,70,2,"Presencial","Goiania","Trancado"
381,"Denise Cunha","Enfermagem",6,7.7,6.1,84,3,"Hibrido","Brasilia","Ativo"
382,"Marina Batista","ADS",2,8.4,8.6,59,11,"Online","Anapolis","Ativo"
383,"Igor Machado","Fisioterapia",1,6.8,6.6,73,9,"Hibrido","Goiania","Ativo"
384,"Ricardo Ribeiro","Fisioterapia",4,6.5,6.1,63,4,"Online","Brasilia","Ativo"
385,"Henrique Lopes","ADS",9,9.9,6,76,9,"Online","Anapolis","Concluinte"
386,"Olivia Costa","Fisioterapia",8,8.3,5.2,84,6,"Hibrido","Brasilia","Formado"
387,"Marcelo Melo","Fisioterapia",2,9.4,9.7,79,4,"Online","Aparecida de Goiania","Ativo"
388,"Paula Alves","Fisioterapia",3,6,5.3,94,11,"Presencial","Goiania","Trancado"
389,"Yasmin Araujo","Fisioterapia",3,7.4,10,72,8,"Online","Goiania","Transferido"
390,"Joao Freitas","ADS",5,8.3,6.3,87,1,"Online","Anapolis","Ativo"
391,"Hugo Campos","Fisioterapia",4,2.4,9.5,66,7,"Presencial","Aparecida de Goiania","Ativo"
392,"Vanessa Rodrigues","ADS",6,8.5,5.9,86,6,"Hibrido","Aparecida de Goiania","Ativo"
393,"Natalia Oliveira","Medicina",7,6.7,5.2,91,3,"Presencial","Anapolis","Ativo"
394,"Julia Pinto","Enfermagem",8,4.6,8.5,64,7,"Online","Rio Verde","Jubilado"
395,"Gustavo Nunes","Medicina",9,6.7,8.1,87,7,"Hibrido","Anapolis","Formado"
396,"Sandra Azevedo","Medicina",9,7.4,6.3,90,4,"Presencial","Goiania","Transferido"
397,"Otavia Oliveira","ADS",10,8.1,5.5,65,5,"Presencial","Brasilia","Ativo"
398,"Renato Fernandes","Fisioterapia",8,9.5,7.9,73,4,"Online","Goiania","Ativo"
399,"Bruno Silva","ADS",5,3.7,7.5,100,5,"Presencial","Goiania","Trancado"
400,"Denise Tavares","Medicina",8,6.6,9.1,83,6,"Presencial","Goiania","Formado"
401,"Julia Farias","Medicina",3,10,9.3,100,3,"Online","Goiania","Ativo"
402,"Livia Batista","Medicina",5,5.5,7.2,73,3,"Presencial","Brasilia","Ativo"
403,"Marina Silva","Enfermagem",3,6.8,4.4,76,7,"Online","Brasilia","Ativo"
404,"Fernanda Ferreira","Medicina",1,5.2,8.2,76,2,"Hibrido","Goiania","Ativo"
405,"Alice Nunes","Enfermagem",2,7.2,8,59,1,"Online","Anapolis","Formado"
406,"Joao Batista","ADS",4,5.9,7.8,97,3,"Presencial","Goiania","Ativo"
407,"Otavio Pereira","Medicina",4,7.2,7.6,60,9,"Presencial","Aparecida de Goiania","Transferido"
408,"Ana Dias","Fisioterapia",4,7.1,7.9,72,6,"Hibrido","Anapolis","Ativo"
409,"Isabela Monteiro","Enfermagem",2,10,5.7,67,2,"Presencial","Goiania","Afastado"
410,"Xavier Nunes","Medicina",6,7.8,8.1,72,5,"Online","Goiania",""
411,"Ana Andrade","Enfermagem",10,3.4,8.4,92,2,"Presencial","Anapolis","Trancado"
412,"Daniel Rocha","ADS",8,6.1,6.7,85,5,"Presencial","Aparecida de Goiania","Ativo"
413,"Renato Nascimento","Fisioterapia",6,6.3,8.9,91,2,"Presencial","Brasilia","Transferido"
414,"Marcelo Melo","ADS",6,4.3,4.3,95,1,"Hibrido","Anapolis","Ativo"
415,"Sandra Ferreira","Fisioterapia",7,6.8,5.7,79,8,"Presencial","Aparecida de Goiania","Trancado"
416,"Olivia Cruz","ADS",8,10,9.4,100,8,"Online","Brasilia","Formado"
417,"Giovana Oliveira","Enfermagem",1,4,5,85,4,"Hibrido","Brasilia","Transferido"
418,"Ana Souza","Medicina",6,5.6,4.5,68,6,"Presencial","Rio Verde","Transferido"
419,"Fernanda Ramos","Enfermagem",3,7.8,7.2,88,1,"Presencial","Anapolis","Ativo"
420,"Isabela Moreira","Enfermagem",5,5.5,7.8,82,7,"Presencial","Anapolis","Ativo"
421,"Ana Costa","Fisioterapia",9,6.6,6.9,66,5,"Online","Brasilia","Ativo"
422,"Rafael Cunha","Fisioterapia",1,9.2,8.3,83,1,"Hibrido","Anapolis","Ativo"
423,"Daniel Pinto","ADS",6,8.8,6.1,46,10,"Presencial","Aparecida de Goiania","Ativo"
424,"Caio Nunes","Fisioterapia",9,5.6,8,87,8,"Hibrido","Anapolis","Jubilado"
425,"Sofia Lopes","ADS",2,4.3,7.9,71,3,"Presencial","Goiania","Formado"
426,"Paula Pereira","Fisioterapia",10,7.9,7.4,94,11,"Hibrido","Rio Verde","Ativo"
427,"Mateus Rocha","ADS",4,7.2,6.2,89,6,"Presencial","Goiania","Ativo"
428,"Marina Martins","Enfermagem",3,9.8,8.7,74,5,"Presencial","Anapolis","Ativo"
429,"Ursula Cruz","Medicina",4,9.1,8.3,95,8,"Presencial","Rio Verde","Cancelado"
430,"Eduarda Araujo","Fisioterapia",10,7.2,9.7,92,1,"Presencial","Goiania","Ativo"
431,"Felipe Almeida","Fisioterapia",5,10,5.5,92,8,"Presencial","Brasilia","Jubilado"
432,"Pedro Rodrigues","Enfermagem",2,6.3,9.4,100,3,"Presencial","Brasilia","Ativo"
433,"Sandra Lopes","Enfermagem",5,8.9,6.9,94,5,"Hibrido","Brasilia","Ativo"
434,"Elena Barbosa","ADS",5,10,4.3,74,6,"Presencial","Aparecida de Goiania","Ativo"
435,"Marcelo Alves","ADS",4,9.5,7.4,85,4,"Hibrido","Goiania","Ativo"
436,"Mateus Pereira","Enfermagem",3,5.4,8.4,91,7,"Presencial","Brasilia","Ativo"
437,"Mateus Pires","Medicina",4,6.1,6.1,65,1,"Hibrido","Brasilia","Cancelado"
438,"Vanessa Oliveira","ADS",7,5.3,8.8,90,4,"Hibrido","Anapolis","Ativo"
439,"Wanda Cruz","Enfermagem",7,4.8,5.6,65,3,"Presencial","Brasilia","Ativo"
440,"Gabriela Reis","Enfermagem",3,7.4,5.3,64,5,"Hibrido","Anapolis","Ativo"
441,"Sofia Martins","Medicina",1,7.3,3.7,82,7,"Online","Aparecida de Goiania","Ativo"
442,"Wanda Batista","ADS",1,9.3,8.6,78,8,"Online","Anapolis","Ativo"
443,"Karina Pereira","Enfermagem",8,7.3,7,76,8,"Presencial","Brasilia","Formado"
444,"Fabio Machado","ADS",7,7.9,6.4,59,6,"Presencial","Anapolis","Ativo"
445,"Otavio Pinto","Medicina",7,9.8,3.3,60,8,"Presencial","Anapolis","Ativo"
446,"Ingrid Fernandes","Enfermagem",4,3.7,8,71,7,"Presencial","Rio Verde","Ativo"
447,"Otavio Pinto","Enfermagem",9,4.4,8.4,80,5,"Presencial","Anapolis","Cancelado"
448,"Paula Pinto","Fisioterapia",7,3.9,6.6,80,7,"Hibrido","Brasilia","Ativo"
449,"Marina Lima","Enfermagem",4,5.1,10,73,7,"Presencial","Anapolis","Transferido"
450,"Mateus Pires","Fisioterapia",7,7.2,6.6,79,5,"Presencial","Brasilia","Trancado"
451,"Julia Ferreira","Fisioterapia",3,4.2,5.9,79,2,"Online","Goiania","Ativo"
452,"Diego Barbosa","ADS",2,5.9,7.3,54,10,"Presencial","Anapolis","Afastado"
453,"Carla Vieira","ADS",2,5.8,6.3,89,5,"Online","Anapolis","Ativo"
454,"Ana Castro","Fisioterapia",5,5.2,6.9,100,3,"Online","Brasilia","Formado"
455,"Livia Lopes","Enfermagem",7,9.1,7.1,83,8,"Presencial","Brasilia","Ativo"
456,"Vanessa Teixeira","Medicina",4,6.5,5.7,83,5,"Hibrido","Anapolis","Ativo"
457,"Yasmin Barbosa","Medicina",5,7.5,9.3,62,4,"Online","Brasilia","Trancado"
458,"Elena Pires","Medicina",2,4.6,8.9,81,12,"Online","Aparecida de Goiania","Ativo"
459,"Nicolas Antunes","Fisioterapia",5,7.6,8.1,76,4,"Hibrido","Goiania","Ativo"
460,"Kevin Tavares","ADS",5,8.8,5.1,79,9,"Presencial","Anapolis","Ativo"
461,"Olivia Alves","Medicina",3,3.5,6.7,94,9,"Online","Goiania","Ativo"
462,"Vitor Azevedo","Medicina",2,,9.2,93,4,"Presencial","Goiania","Ativo"
463,"Marcelo Dias","Fisioterapia",7,8.2,5.6,76,8,"Hibrido","Brasilia","Ativo"
464,"Ana Ramos","ADS",8,,8.7,73,7,"Online","Anapolis","Ativo"
465,"Paula Machado","Medicina",2,6.7,7.4,71,3,"Hibrido","Brasilia","Trancado"
466,"Paula Pereira","ADS",8,5.5,7.7,67,3,"Online","Aparecida de Goiania","Formado"
467,"Eduarda Castro","Enfermagem",7,7.6,8.7,62,4,"Presencial","Goiania","Jubilado"
468,"Marcelo Alves","Enfermagem",10,4.3,9.3,82,5,"Hibrido","Anapolis","Trancado"
469,"Livia Nunes","Medicina",10,4.9,6.9,100,6,"Online","Goiania","Concluinte"
470,"Sandra Ramos","Medicina",1,1.9,10,87,1,"Hibrido","Anapolis","Ativo"
471,"Sofia Ferreira","Enfermagem",3,9.4,5.5,79,4,"Online","Goiania","Ativo"
472,"Breno Mendes","Enfermagem",5,10,7.3,95,9,"Hibrido","Aparecida de Goiania","Ativo"
473,"Sofia Andrade","ADS",10,6.1,8.5,86,6,"Presencial","Goiania","Formado"
474,"Henrique Farias","ADS",3,5.6,6.6,98,4,"Presencial","Anapolis","Ativo"
475,"Pedro Almeida","Fisioterapia",5,8.3,6.9,78,8,"Online","Goiania","Ativo"
476,"Vitor Ramos","Enfermagem",8,8,6.3,79,5,"Online","Aparecida de Goiania","Ativo"
477,"Renato Fernandes","ADS",1,7.9,7.6,94,4,"Hibrido","Brasilia","Ativo"
478,"Otavio Campos","Enfermagem",4,7.1,4.4,72,7,"Online","Goiania","Formado"
479,"Mateus Carvalho","Enfermagem",7,10,7.1,70,8,"Online","Goiania","Ativo"
480,"Ana Almeida","Fisioterapia",1,4.8,5.2,78,6,"Presencial","Anapolis","Transferido"
481,"Thiago Alves","Fisioterapia",5,5.3,6,83,1,"Online","Brasilia","Trancado"
482,"Igor Campos","ADS",3,2.6,7.9,89,16,"Hibrido","Goiania","Ativo"
483,"Julio Souza","Medicina",4,7.4,3.8,68,6,"Hibrido","Brasilia","Cancelado"
484,"Felipe Nascimento","Enfermagem",3,6.5,5,97,8,"Presencial","Anapolis","Ativo"
485,"Helena Monteiro","ADS",1,8.5,5,71,7,"Online","Goiania","Ativo"
486,"Joao Alves","ADS",7,5.6,4.9,67,7,"Presencial","Goiania","Ativo"
487,"Wanda Silva","Fisioterapia",10,5.9,5.9,59,3,"Presencial","Brasilia","Cancelado"
488,"Carla Cunha","Fisioterapia",10,7.9,8.4,64,8,"Presencial","Aparecida de Goiania","Ativo"
489,"Ursula Cunha","Fisioterapia",7,6.5,6.5,95,8,"Online","Anapolis","Formado"
490,"Elena Fernandes","Enfermagem",2,3.6,5,69,6,"Hibrido","Anapolis","Transferido"
491,"Caio Reis","Fisioterapia",8,9.1,8.3,79,8,"Presencial","Goiania","Ativo"
492,"Patricia Lopes","Medicina",8,5.5,5.3,87,9,"Online","Aparecida de Goiania","Afastado"
493,"Elena Andrade","Fisioterapia",1,7.1,8.1,89,3,"Presencial","Aparecida de Goiania","Ativo"
494,"Tiago Fernandes","Enfermagem",8,2.1,5.6,65,4,"Hibrido","Brasilia","Concluinte"
495,"Igor Pires","Medicina",2,8.9,6.1,100,8,"Presencial","Rio Verde","Ativo"
496,"Ingrid Dias","Enfermagem",3,10,6.8,100,3,"Online","Goiania","Ativo"
497,"Julia Pereira","ADS",5,3.5,7.7,100,6,"Presencial","Anapolis","Ativo"
498,"Daniel Pinto","ADS",3,7.7,6.3,63,8,"Presencial","Aparecida de Goiania","Ativo"
499,"Joao Nascimento","ADS",1,9.6,6.5,68,6,"Online","Goiania","Ativo"
500,"Camila Oliveira","ADS",7,3.1,8.3,77,7,"Presencial","Brasilia","Trancado"
501,"Eduarda Martins","Medicina",9,10,7.3,69,1,"Presencial","Aparecida de Goiania","Cancelado"
502,"Mateus Antunes","Fisioterapia",7,8.6,6.3,63,6,"Online","Anapolis","Transferido"
503,"Julia Martins","Fisioterapia",7,5.9,6.3,76,4,"Presencial","Goiania","Transferido"
504,"Lucas Reis","Fisioterapia",10,8.4,6.8,100,3,"Hibrido","Anapolis","Formado"
505,"Vitor Monteiro","ADS",2,,6.6,76,3,"Hibrido","Anapolis","Trancado"
506,"Otavia Santos","Medicina",4,7.9,8.4,77,2,"Hibrido","Anapolis","Cancelado"
507,"Camila Ferreira","Fisioterapia",3,6.7,5.1,84,2,"Presencial","Goiania","Ativo"
508,"Ana Farias","Enfermagem",4,10,7.9,75,6,"Presencial","Aparecida de Goiania","Ativo"
509,"Yasmin Moreira","Medicina",1,2.8,6.5,72,4,"Presencial","Anapolis","Ativo"
510,"Nicolas Vieira","Fisioterapia",5,9.2,5.7,72,10,"Online","Goiania","Formado"
511,"Sandra Castro","Fisioterapia",6,8.7,5.7,81,11,"Presencial","Anapolis","Ativo"
512,"Breno Carvalho","Enfermagem",5,8.1,7.2,99,5,"Online","Goiania","Ativo"
513,"Caio Costa","Medicina",6,6.9,5.3,61,6,"Hibrido","Aparecida de Goiania","Ativo"
514,"Fernanda Carvalho","Enfermagem",9,9.1,9,93,1,"Hibrido","Brasilia","Trancado"
515,"Larissa Castro","Medicina",5,4.7,6,70,4,"Hibrido","Anapolis","Ativo"
516,"Kevin Pereira","Enfermagem",7,5.6,5,83,5,"Presencial","Anapolis","Transferido"
517,"Isabela Freitas","Medicina",7,8,9.2,98,2,"Hibrido","Aparecida de Goiania","Trancado"
518,"Helena Cruz","Fisioterapia",8,1.2,7.2,83,9,"Presencial","Aparecida de Goiania","Trancado"
519,"Rafael Almeida","Medicina",8,8.1,10,95,7,"Hibrido","Anapolis","Ativo"
520,"Sofia Azevedo","Enfermagem",1,6.5,8,56,8,"Presencial","Goiania","Afastado"
521,"Wagner Pereira","Medicina",7,5.8,9.2,70,7,"Online","Anapolis","Ativo"
522,"Giovana Castro","Fisioterapia",7,8.9,7.3,83,6,"Hibrido","Brasilia","Afastado"
523,"Thiago Santos","Enfermagem",6,9.9,7.4,80,1,"Presencial","Aparecida de Goiania","Ativo"
524,"Gustavo Souza","Enfermagem",4,7.3,10,90,12,"Online","Aparecida de Goiania","Ativo"
525,"Tiago Martins","ADS",5,8.4,5.3,75,11,"Presencial","Anapolis","Ativo"
526,"Eduardo Ferreira","Fisioterapia",8,4.4,4.7,62,5,"Hibrido","Rio Verde","Transferido"
527,"Julio Nunes","ADS",5,7.7,8.4,100,5,"Online","Goiania","Ativo"
528,"Kevin Araujo","Enfermagem",1,8.2,6.6,92,7,"Online","Goiania","Ativo"
529,"Karina Monteiro","Enfermagem",2,7.1,6.7,84,9,"Online","Brasilia","Ativo"
530,"Wagner Mendes","Medicina",10,9.1,8.6,76,6,"Online","Brasilia","Ativo"
531,"Marcelo Moura","Fisioterapia",10,7.8,7.7,100,6,"Presencial","Rio Verde","Ativo"
532,"Wagner Pires","Enfermagem",10,4.5,9.2,74,4,"Hibrido","Brasilia","Trancado"
533,"Thiago Nascimento","Fisioterapia",5,5.3,10,78,1,"Presencial","Anapolis","Ativo"
534,"Bruno Cardoso","ADS",10,6.6,8.5,78,9,"Presencial","Anapolis","Jubilado"
535,"Wanda Tavares","Medicina",7,5.7,5.9,100,10,"Presencial","Goiania","Ativo"
536,"Alice Melo","ADS",9,4.1,8,67,6,"Presencial","Anapolis",""
537,"Alice Vieira","Enfermagem",8,7.1,6.7,75,1,"Presencial","Rio Verde","Ativo"
538,"Henrique Fernandes","Fisioterapia",1,9.3,5.2,82,3,"Presencial","Rio Verde","Ativo"
539,"Elena Freitas","ADS",5,6.8,4.4,93,1,"Presencial","Brasilia","Jubilado"
540,"Wagner Ramos","Enfermagem",8,8,4.6,68,4,"Presencial","Aparecida de Goiania","Ativo"
541,"Larissa Tavares","Fisioterapia",3,3.9,7.1,54,2,"Hibrido","Goiania","Transferido"
542,"Vanessa Ramos","ADS",9,5.3,7.9,57,8,"Online","Rio Verde","Trancado"
543,"Eduardo Carvalho","Medicina",7,6.3,6.2,61,11,"Hibrido","Brasilia","Ativo"
544,"Elena Andrade","ADS",6,6.8,6.6,81,3,"Hibrido","Anapolis","Formado"
545,"Denise Cunha","Medicina",7,6.4,6.4,64,4,"Online","Brasilia","Cancelado"
546,"Vanessa Andrade","Enfermagem",10,6.4,,72,8,"Hibrido","Goiania","Ativo"
547,"Gustavo Silva","ADS",7,8.4,5.4,85,1,"Presencial","Rio Verde","Ativo"
548,"Tiago Oliveira","ADS",5,9,7.1,77,7,"Online","Goiania","Jubilado"
549,"Ingrid Freitas","ADS",1,7.9,8.7,100,6,"Online","Anapolis","Transferido"
550,"Mateus Lima","ADS",7,5.8,6.6,62,7,"Presencial","Goiania","Ativo"
551,"Marina Reis","Medicina",9,7.8,4.9,74,8,"Hibrido","Brasilia","Transferido"
552,"Vitor Tavares","Fisioterapia",3,5.7,,87,2,"Online","Anapolis","Ativo"
553,"Rafael Moura","Fisioterapia",1,7.6,6.8,63,6,"Presencial","Goiania","Ativo"
554,"Nadia Melo","Medicina",7,5.5,6.6,68,3,"Hibrido","Goiania","Ativo"
555,"Felipe Ribeiro","Medicina",8,7.1,7.8,89,7,"Presencial","Anapolis","Trancado"
556,"Thiago Mendes","ADS",7,4.6,8.5,83,9,"Presencial","Rio Verde","Ativo"
557,"Olivia Melo","Fisioterapia",2,4.8,6.5,66,7,"Presencial","Goiania","Ativo"
558,"Nicolas Freitas","Medicina",4,7.4,6.3,94,4,"Presencial","Goiania","Ativo"
559,"Xavier Ramos","ADS",7,6.4,4,77,4,"Hibrido","Anapolis","Formado"
560,"Felipe Pires","Fisioterapia",7,5.4,4.1,87,3,"Online","Anapolis","Ativo"
561,"Marcelo Antunes","Enfermagem",4,7.2,9.2,79,7,"Online","Brasilia","Ativo"
562,"Alice Monteiro","ADS",2,6.9,9.8,93,2,"Hibrido","Anapolis","Ativo"
563,"Caio Cunha","ADS",6,5.9,4.4,86,6,"Hibrido","Anapolis","Ativo"
